Amount,Hour,Frequency,Receiver_Known,Deviation,Location_New,Transactions_Last_1min,Class
4720,1,0,1,4.72,0,0,0
28736,11,0,0,28.736,1,0,0
18112,0,2,1,18.112000000000002,1,2,0
993,20,4,1,0.993,0,4,0
30801,20,3,1,30.801000000000002,1,3,0
99696,5,1,1,99.696,1,1,0
45575,21,0,1,45.574999999999996,0,0,0
96249,21,0,1,96.249,0,0,0
110436,7,1,0,100.0,0,1,0
21850,20,2,1,21.85,1,2,0
155893,6,2,0,100.0,1,2,1
76522,17,1,0,76.522,0,1,0
106582,19,3,0,100.0,1,3,0
79718,8,2,1,79.718,0,2,0
65044,5,4,1,65.044,0,4,0
61278,17,2,1,61.278,1,2,0
197998,8,1,1,100.0,1,1,0
177562,20,1,1,100.0,0,1,1
12452,22,0,0,12.452,0,0,0
8324,19,1,0,8.324,0,1,0
14973,5,3,1,14.973,0,3,0
102378,18,0,1,100.0,0,0,0
80789,19,2,1,80.789,0,2,0
161314,0,3,0,100.0,1,3,0
6106,15,1,1,6.106,1,1,0
156773,2,5,0,100.0,1,5,1
116056,6,4,1,100.0,1,4,1
98974,12,3,0,98.97399999999999,0,3,0
143242,21,5,0,100.0,0,5,1
2770,22,2,1,2.77,1,2,0
159230,19,2,1,100.0,1,2,0
51043,3,2,0,51.043000000000006,1,2,0
7094,1,3,0,7.094,1,3,0
27858,14,3,0,27.858,1,3,1
51216,9,3,0,51.215999999999994,0,3,0
130459,16,2,1,100.0,1,2,1
1416,0,1,1,1.4160000000000001,0,1,0
197853,18,5,0,100.0,0,5,0
43094,18,3,0,43.094,0,3,0
5831,7,2,1,5.831,0,2,0
24789,19,2,0,24.789,1,2,0
9666,23,3,1,9.666,1,3,0
133563,9,2,0,100.0,0,2,0
101617,15,2,1,100.0,1,2,0
14235,2,4,1,14.235000000000001,0,4,0
164807,6,3,1,100.0,1,3,1
180360,4,1,1,100.0,0,1,0
121557,18,4,1,100.0,0,4,1
96370,2,1,1,96.37,1,1,0
135156,3,4,0,100.0,1,4,0
142502,13,2,0,100.0,0,2,0
58449,10,1,0,58.449,0,1,0
162568,17,0,1,100.0,0,0,0
110387,17,5,0,100.0,1,5,1
47317,5,0,0,47.317,1,0,0
183303,21,2,0,100.0,0,2,0
28275,11,0,0,28.275,1,0,0
107430,2,0,1,100.0,0,0,0
152700,11,0,0,100.0,0,0,0
199361,22,1,0,100.0,0,1,0
33470,8,0,1,33.47,1,0,0
11449,23,2,1,11.449,0,2,0
109312,10,2,0,100.0,0,2,0
166167,1,3,0,100.0,0,3,1
52574,7,3,0,52.574,0,3,0
119895,14,0,1,100.0,0,0,0
181898,10,0,0,100.0,0,0,0
12170,13,0,1,12.17,0,0,0
29777,0,3,0,29.776999999999997,1,3,0
168803,17,2,1,100.0,0,2,0
65710,15,0,1,65.71000000000001,1,0,0
3276,1,2,0,3.276,1,2,0
39144,7,2,0,39.144,0,2,0
191123,15,1,1,100.0,0,1,0
46979,10,0,0,46.979,1,0,0
35620,17,3,1,35.620000000000005,0,3,0
98830,13,0,0,98.83,0,0,0
96160,7,2,1,96.16,0,2,0
167416,14,3,1,100.0,0,3,0
174003,15,0,0,100.0,0,0,1
5365,9,3,1,5.365,1,3,0
195865,16,2,1,100.0,1,2,0
169930,22,0,0,100.0,1,0,1
60700,2,4,0,60.699999999999996,0,4,0
74611,22,2,1,74.611,0,2,0
453,8,1,0,0.453,0,1,0
160855,9,2,0,100.0,1,2,1
192062,21,5,0,100.0,1,5,1
130552,7,0,1,100.0,0,0,0
24476,15,2,0,24.476,1,2,0
68273,14,2,0,68.273,0,2,0
67522,16,0,1,67.522,1,0,0
155677,14,0,0,100.0,0,0,0
36718,10,1,0,36.718,1,1,0
149829,6,1,0,100.0,0,1,0
31985,2,0,0,31.985000000000003,1,0,0
188218,9,0,1,100.0,0,0,0
82580,11,0,1,82.58,1,0,0
188294,17,3,1,100.0,0,3,0
77727,0,0,0,77.727,0,0,0
174176,16,1,0,100.0,1,1,0
49821,1,2,1,49.821,0,2,0
76068,1,5,0,76.068,0,5,1
88912,17,2,0,88.912,1,2,0
69382,8,5,0,69.382,1,5,1
102634,7,3,0,100.0,0,3,0
64788,2,2,1,64.788,0,2,0
138701,12,3,1,100.0,1,3,0
192087,13,1,1,100.0,0,1,0
156490,3,0,0,100.0,0,0,0
64203,15,2,0,64.203,0,2,0
158798,17,0,1,100.0,0,0,0
142465,16,1,1,100.0,1,1,0
100311,11,1,1,100.0,1,1,0
35209,9,0,0,35.209,1,0,0
188008,5,1,0,100.0,0,1,0
10354,18,5,1,10.354,0,5,0
29493,22,1,0,29.493000000000002,0,1,0
46441,3,3,0,46.441,0,3,0
100990,21,3,1,100.0,0,3,0
50878,8,2,0,50.878,1,2,0
26664,21,1,1,26.663999999999998,1,1,0
116253,10,3,1,100.0,0,3,0
54628,20,3,1,54.628,1,3,0
177730,4,4,0,100.0,1,4,0
4007,7,0,1,4.007000000000001,0,0,0
30249,17,2,1,30.249,0,2,0
93456,8,0,1,93.45599999999999,0,0,0
160676,15,0,0,100.0,0,0,0
92239,1,2,1,92.239,1,2,0
59558,11,0,0,59.558,1,0,0
4786,13,0,1,4.786,0,0,0
187081,7,4,1,100.0,0,4,1
12865,21,2,0,12.864999999999998,0,2,0
107380,21,5,0,100.0,0,5,0
20737,10,3,0,20.737,1,3,0
56196,5,1,1,56.196,0,1,0
147227,2,1,1,100.0,0,1,0
43856,20,2,0,43.856,0,2,0
28638,14,0,0,28.638,1,0,0
35253,7,2,1,35.253,0,2,0
6721,19,0,1,6.721000000000001,0,0,0
161294,14,2,1,100.0,0,2,0
50299,23,1,0,50.29900000000001,0,1,0
70459,18,0,1,70.459,1,0,0
129034,14,0,1,100.0,0,0,0
155638,20,3,1,100.0,0,3,0
3467,23,3,1,3.467,0,3,0
63216,3,0,1,63.21600000000001,1,0,0
18465,4,0,1,18.465,0,0,0
69292,2,2,1,69.292,1,2,0
104006,16,5,0,100.0,1,5,1
42282,7,1,1,42.282,1,1,0
153061,22,2,1,100.0,1,2,0
95353,0,2,0,95.353,0,2,0
25600,20,2,1,25.6,1,2,0
85552,21,0,1,85.55199999999999,1,0,0
3211,17,1,1,3.211,1,1,0
47407,5,3,1,47.407,1,3,0
55346,18,3,0,55.346,1,3,1
11339,22,0,0,11.339,0,0,0
53738,18,2,0,53.738,0,2,0
116286,19,3,0,100.0,1,3,1
87971,21,5,1,87.971,1,5,0
28586,10,0,0,28.586,0,0,0
18633,7,3,1,18.633,0,3,0
167960,10,2,1,100.0,1,2,0
51013,16,3,0,51.013,1,3,0
13467,18,1,0,13.467,0,1,0
81658,19,3,1,81.658,1,3,0
59406,10,1,1,59.406000000000006,1,1,0
58711,21,0,1,58.711,0,0,0
60012,2,1,0,60.012,0,1,0
142747,17,2,0,100.0,1,2,0
45619,22,1,1,45.619,1,1,0
115349,10,0,1,100.0,1,0,0
152148,7,3,1,100.0,0,3,0
48393,2,0,0,48.393,0,0,0
182802,19,1,1,100.0,1,1,0
110335,3,2,0,100.0,1,2,0
15061,21,2,0,15.061,1,2,0
197460,6,3,0,100.0,0,3,0
178303,9,0,0,100.0,0,0,0
101304,23,2,1,100.0,1,2,0
76981,4,0,1,76.981,1,0,0
85841,10,3,1,85.841,1,3,0
5794,9,3,0,5.794,1,3,0
66166,15,3,0,66.166,1,3,0
38689,7,2,1,38.689,0,2,0
62379,10,3,1,62.379,1,3,0
182219,10,1,0,100.0,1,1,0
134805,14,3,0,100.0,0,3,0
158912,19,3,1,100.0,1,3,0
24713,23,1,0,24.712999999999997,1,1,0
644,21,4,0,0.644,0,4,1
65119,19,0,1,65.119,1,0,0
189512,6,3,0,100.0,0,3,1
99710,7,3,1,99.71,1,3,0
183833,17,2,1,100.0,0,2,0
118687,22,1,0,100.0,0,1,0
30028,1,3,0,30.028,1,3,0
125524,23,1,1,100.0,1,1,1
159699,14,2,1,100.0,0,2,0
19664,2,0,0,19.664,0,0,0
54359,18,4,0,54.359,1,4,1
102588,3,2,0,100.0,0,2,0
58732,21,5,1,58.73199999999999,1,5,0
43127,19,0,1,43.126999999999995,0,0,0
155864,23,0,0,100.0,0,0,0
9598,2,3,0,9.597999999999999,0,3,0
195988,7,2,1,100.0,0,2,0
7557,9,0,1,7.5569999999999995,0,0,0
57279,6,5,1,57.279,0,5,0
72952,23,0,1,72.952,1,0,0
13111,4,2,1,13.111,1,2,0
143030,13,1,0,100.0,0,1,0
94289,14,2,1,94.289,1,2,0
13233,6,2,0,13.233,1,2,0
178014,6,2,1,100.0,1,2,0
46753,2,1,0,46.753,1,1,0
179092,6,0,1,100.0,0,0,0
33644,6,5,0,33.644,1,5,1
18353,16,1,0,18.353,0,1,0
40895,22,3,1,40.894999999999996,0,3,0
173176,20,5,1,100.0,1,5,0
110089,7,0,0,100.0,1,0,0
111283,10,1,1,100.0,0,1,0
49818,11,3,0,49.818,0,3,0
23915,23,3,1,23.915,1,3,0
4551,14,0,1,4.551,0,0,0
156199,6,5,1,100.0,0,5,1
127973,9,5,1,100.0,0,5,0
60397,11,4,1,60.397,0,4,1
94082,9,2,1,94.082,0,2,0
84638,6,4,0,84.638,1,4,0
48395,11,5,1,48.394999999999996,1,5,0
36767,4,1,1,36.767,1,1,0
177611,16,0,1,100.0,1,0,0
20370,5,4,0,20.369999999999997,0,4,0
177378,14,0,0,100.0,0,0,0
123594,21,2,1,100.0,0,2,0
76929,2,2,0,76.929,0,2,0
138261,5,3,1,100.0,0,3,1
48257,12,2,0,48.257,1,2,0
71477,2,4,0,71.477,1,4,1
153997,3,1,1,100.0,1,1,0
35875,14,1,1,35.875,1,1,0
195743,6,1,0,100.0,0,1,0
46214,16,5,1,46.214,0,5,0
15962,8,2,1,15.962000000000002,0,2,0
18420,18,2,1,18.42,1,2,0
30999,16,0,1,30.999,0,0,0
178758,2,2,1,100.0,1,2,0
28702,5,5,0,28.701999999999998,1,5,0
64657,0,3,1,64.657,1,3,0
41146,22,0,0,41.146,1,0,0
180384,19,1,0,100.0,1,1,0
26132,13,3,1,26.131999999999998,0,3,0
54534,5,2,0,54.534000000000006,0,2,0
86370,7,1,0,86.37,1,1,0
96898,5,2,0,96.898,0,2,1
33404,14,3,1,33.404,1,3,0
110410,22,1,1,100.0,1,1,0
168696,11,2,1,100.0,0,2,0
63545,19,0,1,63.544999999999995,0,0,0
25177,13,4,0,25.177,0,4,1
194748,20,5,0,100.0,1,5,1
116353,21,2,0,100.0,1,2,0
7585,23,0,0,7.585,1,0,0
116920,15,1,0,100.0,0,1,0
58131,20,3,0,58.131,0,3,0
37129,12,0,0,37.129,0,0,0
34970,11,2,0,34.97,1,2,0
88118,7,2,0,88.118,0,2,0
47762,15,2,0,47.762,0,2,0
143007,10,0,1,100.0,1,0,0
14720,2,0,1,14.719999999999999,0,0,0
7946,3,0,1,7.946000000000001,0,0,0
99893,6,0,0,99.893,1,0,0
162997,11,3,1,100.0,0,3,0
85175,15,2,0,85.175,0,2,0
59010,8,3,0,59.01,0,3,0
47633,7,0,1,47.632999999999996,0,0,0
159865,21,0,1,100.0,0,0,0
181583,0,3,1,100.0,0,3,0
13599,13,1,1,13.599,1,1,0
57396,9,1,1,57.396,0,1,0
25080,4,3,0,25.080000000000002,1,3,0
184486,10,2,0,100.0,0,2,0
77732,8,1,1,77.732,0,1,0
52297,20,5,1,52.297000000000004,0,5,1
43409,13,5,1,43.409,0,5,0
155235,13,2,1,100.0,1,2,0
142731,13,3,1,100.0,0,3,0
74205,6,3,1,74.205,1,3,0
147478,5,0,0,100.0,0,0,0
19790,2,3,1,19.79,1,3,0
66808,14,0,0,66.808,1,0,0
141686,5,5,0,100.0,1,5,1
120476,6,0,1,100.0,1,0,0
88637,17,4,0,88.637,0,4,0
23713,16,5,0,23.713,1,5,0
10318,4,1,1,10.318,0,1,0
160422,12,3,1,100.0,0,3,0
13713,1,0,1,13.713000000000001,0,0,0
116460,2,2,1,100.0,1,2,0
26322,10,1,1,26.322000000000003,0,1,0
74502,18,3,1,74.502,0,3,0
22199,17,3,0,22.198999999999998,1,3,0
51628,19,2,1,51.62799999999999,1,2,0
24086,16,5,1,24.086,0,5,0
47327,3,0,1,47.327000000000005,0,0,0
155473,18,0,1,100.0,0,0,0
172361,7,2,1,100.0,0,2,0
14258,15,1,0,14.258000000000001,1,1,0
112808,8,2,0,100.0,0,2,0
21322,13,3,0,21.322,0,3,0
94692,17,3,0,94.692,0,3,0
55083,18,5,0,55.083000000000006,1,5,1
118339,21,3,1,100.0,1,3,0
131171,20,2,1,100.0,0,2,0
35935,0,2,0,35.935,1,2,0
176956,9,0,0,100.0,0,0,0
90334,2,3,1,90.334,1,3,0
115538,0,5,1,100.0,0,5,0
172526,3,0,0,100.0,1,0,1
31998,21,0,1,31.997999999999998,0,0,0
62707,23,4,1,62.707,1,4,1
132057,19,3,1,100.0,1,3,0
180116,20,3,1,100.0,0,3,0
84999,16,2,1,84.999,1,2,0
52055,15,0,1,52.05499999999999,0,0,0
32140,20,0,1,32.14,0,0,0
170821,15,3,1,100.0,1,3,0
187853,13,2,0,100.0,0,2,0
174252,12,2,1,100.0,1,2,0
163464,3,1,1,100.0,1,1,0
23237,0,2,0,23.237,1,2,0
145238,9,2,1,100.0,1,2,0
39874,20,2,1,39.873999999999995,1,2,0
9354,17,0,0,9.354,1,0,0
188793,19,4,0,100.0,1,4,1
89887,16,1,0,89.887,0,1,0
50009,15,3,1,50.009,0,3,0
118633,14,2,1,100.0,1,2,0
142223,19,0,1,100.0,1,0,0
19379,18,1,1,19.378999999999998,1,1,0
97529,4,2,1,97.529,0,2,0
33210,10,0,0,33.21,0,0,0
168645,21,0,1,100.0,0,0,0
108886,7,0,1,100.0,1,0,0
82485,6,1,1,82.485,0,1,0
97350,12,2,1,97.35000000000001,0,2,0
173814,20,2,1,100.0,0,2,0
55346,3,1,0,55.346,0,1,0
151920,0,1,0,100.0,1,1,1
55314,9,2,1,55.31399999999999,0,2,0
94499,19,1,1,94.499,1,1,0
185284,4,4,0,100.0,0,4,1
72408,23,1,1,72.408,0,1,0
11288,0,0,0,11.288,0,0,0
66659,6,5,0,66.659,0,5,0
112708,23,0,1,100.0,0,0,0
61228,17,3,1,61.228,1,3,0
115483,8,1,1,100.0,0,1,0
62988,2,0,0,62.988,1,0,0
9059,0,0,0,9.059000000000001,1,0,0
54234,10,1,1,54.234,0,1,0
63682,13,5,0,63.682,0,5,1
106803,20,0,0,100.0,0,0,0
9856,13,1,0,9.856,0,1,0
80936,10,2,0,80.93599999999999,0,2,0
4720,19,2,1,4.72,1,2,0
10784,1,2,1,10.784,0,2,0
141543,22,3,0,100.0,1,3,1
21160,19,4,0,21.16,1,4,1
83457,11,5,0,83.45700000000001,0,5,0
58085,9,2,0,58.085,1,2,0
36970,8,5,0,36.97,1,5,1
177699,18,2,1,100.0,1,2,0
144865,15,0,1,100.0,0,0,0
29944,3,0,1,29.944,0,0,0
7491,0,4,0,7.4910000000000005,1,4,1
175416,22,3,0,100.0,1,3,1
90050,3,4,1,90.05,0,4,1
105866,0,2,0,100.0,0,2,1
77123,15,0,0,77.12299999999999,1,0,0
15585,12,3,1,15.584999999999999,0,3,0
31972,2,2,0,31.972,0,2,0
45924,21,2,0,45.924,1,2,0
20962,1,0,0,20.962,1,0,0
186627,18,2,1,100.0,0,2,0
112513,21,1,1,100.0,0,1,0
9181,15,2,1,9.181000000000001,1,2,0
62492,22,1,0,62.492000000000004,1,1,0
82263,9,2,1,82.26299999999999,0,2,0
126227,22,1,1,100.0,0,1,0
117944,8,3,1,100.0,0,3,0
9447,9,4,1,9.447,1,4,0
100969,3,2,1,100.0,1,2,0
152469,17,1,0,100.0,0,1,0
5668,9,2,0,5.668,1,2,0
78384,0,3,0,78.384,0,3,0
133441,17,3,1,100.0,1,3,1
106549,2,0,1,100.0,0,0,0
160189,3,0,1,100.0,1,0,0
116268,5,2,1,100.0,0,2,0
23319,12,2,0,23.319000000000003,1,2,1
117261,18,0,0,100.0,0,0,0
91593,17,3,1,91.593,1,3,0
70291,12,2,1,70.291,0,2,0
50271,4,0,1,50.271,1,0,0
164459,14,5,0,100.0,0,5,1
132842,22,0,0,100.0,0,0,0
8136,22,1,0,8.136000000000001,1,1,0
72551,4,3,1,72.551,0,3,0
18567,21,2,0,18.567,0,2,0
187967,6,2,1,100.0,0,2,0
